Country Code|Country Name|Indicator|Year|Data
156|China|GDP per Capita|1500|1207.278
156|China|GDP per Capita|1501|
156|China|GDP per Capita|1502|
156|China|GDP per Capita|1503|
156|China|GDP per Capita|1504|
156|China|GDP per Capita|1505|
156|China|GDP per Capita|1506|
156|China|GDP per Capita|1507|
156|China|GDP per Capita|1508|
156|China|GDP per Capita|1509|
156|China|GDP per Capita|1510|1274
156|China|GDP per Capita|1511|
156|China|GDP per Capita|1512|
156|China|GDP per Capita|1513|
156|China|GDP per Capita|1514|
156|China|GDP per Capita|1515|
156|China|GDP per Capita|1516|
156|China|GDP per Capita|1517|
156|China|GDP per Capita|1518|
156|China|GDP per Capita|1519|
156|China|GDP per Capita|1520|1166
156|China|GDP per Capita|1521|
156|China|GDP per Capita|1522|
156|China|GDP per Capita|1523|
156|China|GDP per Capita|1524|
156|China|GDP per Capita|1525|
156|China|GDP per Capita|1526|
156|China|GDP per Capita|1527|
156|China|GDP per Capita|1528|
156|China|GDP per Capita|1529|
156|China|GDP per Capita|1530|1187
156|China|GDP per Capita|1531|
156|China|GDP per Capita|1532|
156|China|GDP per Capita|1533|
156|China|GDP per Capita|1534|
156|China|GDP per Capita|1535|
156|China|GDP per Capita|1536|
156|China|GDP per Capita|1537|
156|China|GDP per Capita|1538|
156|China|GDP per Capita|1539|
156|China|GDP per Capita|1540|1193
156|China|GDP per Capita|1541|
156|China|GDP per Capita|1542|
156|China|GDP per Capita|1543|
156|China|GDP per Capita|1544|
156|China|GDP per Capita|1545|
156|China|GDP per Capita|1546|
156|China|GDP per Capita|1547|
156|China|GDP per Capita|1548|
156|China|GDP per Capita|1549|
156|China|GDP per Capita|1550|1195
156|China|GDP per Capita|1551|
156|China|GDP per Capita|1552|
156|China|GDP per Capita|1553|
156|China|GDP per Capita|1554|
156|China|GDP per Capita|1555|
156|China|GDP per Capita|1556|
156|China|GDP per Capita|1557|
156|China|GDP per Capita|1558|
156|China|GDP per Capita|1559|
156|China|GDP per Capita|1560|1200
156|China|GDP per Capita|1561|
156|China|GDP per Capita|1562|
156|China|GDP per Capita|1563|
156|China|GDP per Capita|1564|
156|China|GDP per Capita|1565|
156|China|GDP per Capita|1566|
156|China|GDP per Capita|1567|
156|China|GDP per Capita|1568|
156|China|GDP per Capita|1569|
156|China|GDP per Capita|1570|1237.842
156|China|GDP per Capita|1571|
156|China|GDP per Capita|1572|
156|China|GDP per Capita|1573|
156|China|GDP per Capita|1574|
156|China|GDP per Capita|1575|
156|China|GDP per Capita|1576|
156|China|GDP per Capita|1577|
156|China|GDP per Capita|1578|
156|China|GDP per Capita|1579|
156|China|GDP per Capita|1580|1217
156|China|GDP per Capita|1581|
156|China|GDP per Capita|1582|
156|China|GDP per Capita|1583|
156|China|GDP per Capita|1584|
156|China|GDP per Capita|1585|
156|China|GDP per Capita|1586|
156|China|GDP per Capita|1587|
156|China|GDP per Capita|1588|
156|China|GDP per Capita|1589|
156|China|GDP per Capita|1590|1217
156|China|GDP per Capita|1591|
156|China|GDP per Capita|1592|
156|China|GDP per Capita|1593|
156|China|GDP per Capita|1594|
156|China|GDP per Capita|1595|
156|China|GDP per Capita|1596|
156|China|GDP per Capita|1597|
156|China|GDP per Capita|1598|
156|China|GDP per Capita|1599|
156|China|GDP per Capita|1600|1217.466
156|China|GDP per Capita|1601|
156|China|GDP per Capita|1602|
156|China|GDP per Capita|1603|
156|China|GDP per Capita|1604|
156|China|GDP per Capita|1605|
156|China|GDP per Capita|1606|
156|China|GDP per Capita|1607|
156|China|GDP per Capita|1608|
156|China|GDP per Capita|1609|
156|China|GDP per Capita|1610|1282
156|China|GDP per Capita|1611|
156|China|GDP per Capita|1612|
156|China|GDP per Capita|1613|
156|China|GDP per Capita|1614|
156|China|GDP per Capita|1615|
156|China|GDP per Capita|1616|
156|China|GDP per Capita|1617|
156|China|GDP per Capita|1618|
156|China|GDP per Capita|1619|
156|China|GDP per Capita|1620|1262
156|China|GDP per Capita|1621|
156|China|GDP per Capita|1622|
156|China|GDP per Capita|1623|
156|China|GDP per Capita|1624|
156|China|GDP per Capita|1625|
156|China|GDP per Capita|1626|
156|China|GDP per Capita|1627|
156|China|GDP per Capita|1628|
156|China|GDP per Capita|1629|
156|China|GDP per Capita|1630|
156|China|GDP per Capita|1631|
156|China|GDP per Capita|1632|
156|China|GDP per Capita|1633|
156|China|GDP per Capita|1634|
156|China|GDP per Capita|1635|
156|China|GDP per Capita|1636|
156|China|GDP per Capita|1637|
156|China|GDP per Capita|1638|
156|China|GDP per Capita|1639|
156|China|GDP per Capita|1640|
156|China|GDP per Capita|1641|
156|China|GDP per Capita|1642|
156|China|GDP per Capita|1643|
156|China|GDP per Capita|1644|
156|China|GDP per Capita|1645|
156|China|GDP per Capita|1646|
156|China|GDP per Capita|1647|
156|China|GDP per Capita|1648|
156|China|GDP per Capita|1649|
156|China|GDP per Capita|1650|
156|China|GDP per Capita|1651|
156|China|GDP per Capita|1652|
156|China|GDP per Capita|1653|
156|China|GDP per Capita|1654|
156|China|GDP per Capita|1655|
156|China|GDP per Capita|1656|
156|China|GDP per Capita|1657|
156|China|GDP per Capita|1658|
156|China|GDP per Capita|1659|
156|China|GDP per Capita|1660|
156|China|GDP per Capita|1661|1330
156|China|GDP per Capita|1662|
156|China|GDP per Capita|1663|
156|China|GDP per Capita|1664|
156|China|GDP per Capita|1665|
156|China|GDP per Capita|1666|
156|China|GDP per Capita|1667|
156|China|GDP per Capita|1668|
156|China|GDP per Capita|1669|
156|China|GDP per Capita|1670|
156|China|GDP per Capita|1671|
156|China|GDP per Capita|1672|
156|China|GDP per Capita|1673|
156|China|GDP per Capita|1674|
156|China|GDP per Capita|1675|
156|China|GDP per Capita|1676|
156|China|GDP per Capita|1677|
156|China|GDP per Capita|1678|
156|China|GDP per Capita|1679|
156|China|GDP per Capita|1680|
156|China|GDP per Capita|1681|
156|China|GDP per Capita|1682|
156|China|GDP per Capita|1683|
156|China|GDP per Capita|1684|
156|China|GDP per Capita|1685|1280
156|China|GDP per Capita|1686|
156|China|GDP per Capita|1687|
156|China|GDP per Capita|1688|
156|China|GDP per Capita|1689|
156|China|GDP per Capita|1690|1413
156|China|GDP per Capita|1691|
156|China|GDP per Capita|1692|
156|China|GDP per Capita|1693|
156|China|GDP per Capita|1694|
156|China|GDP per Capita|1695|
156|China|GDP per Capita|1696|
156|China|GDP per Capita|1697|
156|China|GDP per Capita|1698|
156|China|GDP per Capita|1699|
156|China|GDP per Capita|1700|1542.633
156|China|GDP per Capita|1701|
156|China|GDP per Capita|1702|
156|China|GDP per Capita|1703|
156|China|GDP per Capita|1704|
156|China|GDP per Capita|1705|
156|China|GDP per Capita|1706|
156|China|GDP per Capita|1707|
156|China|GDP per Capita|1708|
156|China|GDP per Capita|1709|
156|China|GDP per Capita|1710|1406
156|China|GDP per Capita|1711|
156|China|GDP per Capita|1712|
156|China|GDP per Capita|1713|
156|China|GDP per Capita|1714|
156|China|GDP per Capita|1715|
156|China|GDP per Capita|1716|
156|China|GDP per Capita|1717|
156|China|GDP per Capita|1718|
156|China|GDP per Capita|1719|
156|China|GDP per Capita|1720|1312
156|China|GDP per Capita|1721|
156|China|GDP per Capita|1722|
156|China|GDP per Capita|1723|
156|China|GDP per Capita|1724|1170
156|China|GDP per Capita|1725|
156|China|GDP per Capita|1726|
156|China|GDP per Capita|1727|
156|China|GDP per Capita|1728|
156|China|GDP per Capita|1729|
156|China|GDP per Capita|1730|1234
156|China|GDP per Capita|1731|
156|China|GDP per Capita|1732|
156|China|GDP per Capita|1733|
156|China|GDP per Capita|1734|
156|China|GDP per Capita|1735|
156|China|GDP per Capita|1736|
156|China|GDP per Capita|1737|
156|China|GDP per Capita|1738|
156|China|GDP per Capita|1739|
156|China|GDP per Capita|1740|1158
156|China|GDP per Capita|1741|
156|China|GDP per Capita|1742|
156|China|GDP per Capita|1743|
156|China|GDP per Capita|1744|
156|China|GDP per Capita|1745|
156|China|GDP per Capita|1746|
156|China|GDP per Capita|1747|
156|China|GDP per Capita|1748|
156|China|GDP per Capita|1749|
156|China|GDP per Capita|1750|1061.25
156|China|GDP per Capita|1751|
156|China|GDP per Capita|1752|
156|China|GDP per Capita|1753|
156|China|GDP per Capita|1754|
156|China|GDP per Capita|1755|
156|China|GDP per Capita|1756|
156|China|GDP per Capita|1757|
156|China|GDP per Capita|1758|
156|China|GDP per Capita|1759|
156|China|GDP per Capita|1760|1022
156|China|GDP per Capita|1761|
156|China|GDP per Capita|1762|
156|China|GDP per Capita|1763|
156|China|GDP per Capita|1764|
156|China|GDP per Capita|1765|
156|China|GDP per Capita|1766|991
156|China|GDP per Capita|1767|
156|China|GDP per Capita|1768|
156|China|GDP per Capita|1769|
156|China|GDP per Capita|1770|998
156|China|GDP per Capita|1771|
156|China|GDP per Capita|1772|
156|China|GDP per Capita|1773|
156|China|GDP per Capita|1774|
156|China|GDP per Capita|1775|
156|China|GDP per Capita|1776|
156|China|GDP per Capita|1777|
156|China|GDP per Capita|1778|
156|China|GDP per Capita|1779|
156|China|GDP per Capita|1780|981
156|China|GDP per Capita|1781|
156|China|GDP per Capita|1782|
156|China|GDP per Capita|1783|
156|China|GDP per Capita|1784|
156|China|GDP per Capita|1785|
156|China|GDP per Capita|1786|
156|China|GDP per Capita|1787|
156|China|GDP per Capita|1788|
156|China|GDP per Capita|1789|
156|China|GDP per Capita|1790|955
156|China|GDP per Capita|1791|
156|China|GDP per Capita|1792|
156|China|GDP per Capita|1793|
156|China|GDP per Capita|1794|
156|China|GDP per Capita|1795|
156|China|GDP per Capita|1796|
156|China|GDP per Capita|1797|
156|China|GDP per Capita|1798|
156|China|GDP per Capita|1799|
156|China|GDP per Capita|1800|926.259
156|China|GDP per Capita|1801|
156|China|GDP per Capita|1802|
156|China|GDP per Capita|1803|
156|China|GDP per Capita|1804|
156|China|GDP per Capita|1805|
156|China|GDP per Capita|1806|
156|China|GDP per Capita|1807|
156|China|GDP per Capita|1808|
156|China|GDP per Capita|1809|
156|China|GDP per Capita|1810|901
156|China|GDP per Capita|1811|
156|China|GDP per Capita|1812|
156|China|GDP per Capita|1813|
156|China|GDP per Capita|1814|
156|China|GDP per Capita|1815|
156|China|GDP per Capita|1816|
156|China|GDP per Capita|1817|
156|China|GDP per Capita|1818|
156|China|GDP per Capita|1819|
156|China|GDP per Capita|1820|882
156|China|GDP per Capita|1821|
156|China|GDP per Capita|1822|
156|China|GDP per Capita|1823|
156|China|GDP per Capita|1824|
156|China|GDP per Capita|1825|
156|China|GDP per Capita|1826|
156|China|GDP per Capita|1827|
156|China|GDP per Capita|1828|
156|China|GDP per Capita|1829|
156|China|GDP per Capita|1830|846
156|China|GDP per Capita|1831|
156|China|GDP per Capita|1832|
156|China|GDP per Capita|1833|
156|China|GDP per Capita|1834|
156|China|GDP per Capita|1835|
156|China|GDP per Capita|1836|
156|China|GDP per Capita|1837|
156|China|GDP per Capita|1838|
156|China|GDP per Capita|1839|
156|China|GDP per Capita|1840|849
156|China|GDP per Capita|1841|
156|China|GDP per Capita|1842|
156|China|GDP per Capita|1843|
156|China|GDP per Capita|1844|
156|China|GDP per Capita|1845|
156|China|GDP per Capita|1846|
156|China|GDP per Capita|1847|
156|China|GDP per Capita|1848|
156|China|GDP per Capita|1849|
156|China|GDP per Capita|1850|858
156|China|GDP per Capita|1851|
156|China|GDP per Capita|1852|
156|China|GDP per Capita|1853|
156|China|GDP per Capita|1854|
156|China|GDP per Capita|1855|
156|China|GDP per Capita|1856|
156|China|GDP per Capita|1857|
156|China|GDP per Capita|1858|
156|China|GDP per Capita|1859|
156|China|GDP per Capita|1860|
156|China|GDP per Capita|1861|
156|China|GDP per Capita|1862|
156|China|GDP per Capita|1863|
156|China|GDP per Capita|1864|
156|China|GDP per Capita|1865|
156|China|GDP per Capita|1866|
156|China|GDP per Capita|1867|
156|China|GDP per Capita|1868|
156|China|GDP per Capita|1869|
156|China|GDP per Capita|1870|945
156|China|GDP per Capita|1871|
156|China|GDP per Capita|1872|
156|China|GDP per Capita|1873|
156|China|GDP per Capita|1874|
156|China|GDP per Capita|1875|
156|China|GDP per Capita|1876|
156|China|GDP per Capita|1877|
156|China|GDP per Capita|1878|
156|China|GDP per Capita|1879|
156|China|GDP per Capita|1880|
156|China|GDP per Capita|1881|
156|China|GDP per Capita|1882|
156|China|GDP per Capita|1883|
156|China|GDP per Capita|1884|
156|China|GDP per Capita|1885|
156|China|GDP per Capita|1886|
156|China|GDP per Capita|1887|912
156|China|GDP per Capita|1888|
156|China|GDP per Capita|1889|
156|China|GDP per Capita|1890|964
156|China|GDP per Capita|1891|
156|China|GDP per Capita|1892|
156|China|GDP per Capita|1893|
156|China|GDP per Capita|1894|
156|China|GDP per Capita|1895|
156|China|GDP per Capita|1896|
156|China|GDP per Capita|1897|
156|China|GDP per Capita|1898|
156|China|GDP per Capita|1899|
156|China|GDP per Capita|1900|972
156|China|GDP per Capita|1901|
156|China|GDP per Capita|1902|
156|China|GDP per Capita|1903|
156|China|GDP per Capita|1904|
156|China|GDP per Capita|1905|
156|China|GDP per Capita|1906|
156|China|GDP per Capita|1907|
156|China|GDP per Capita|1908|
156|China|GDP per Capita|1909|
156|China|GDP per Capita|1910|
156|China|GDP per Capita|1911|905
156|China|GDP per Capita|1912|
156|China|GDP per Capita|1913|985
156|China|GDP per Capita|1914|
156|China|GDP per Capita|1915|
156|China|GDP per Capita|1916|
156|China|GDP per Capita|1917|
156|China|GDP per Capita|1918|
156|China|GDP per Capita|1919|
156|China|GDP per Capita|1920|
156|China|GDP per Capita|1921|
156|China|GDP per Capita|1922|
156|China|GDP per Capita|1923|
156|China|GDP per Capita|1924|
156|China|GDP per Capita|1925|
156|China|GDP per Capita|1926|
156|China|GDP per Capita|1927|
156|China|GDP per Capita|1928|
156|China|GDP per Capita|1929|1003
156|China|GDP per Capita|1930|1012
156|China|GDP per Capita|1931|1015
156|China|GDP per Capita|1932|1039
156|China|GDP per Capita|1933|923
156|China|GDP per Capita|1934|937
156|China|GDP per Capita|1935|1007
156|China|GDP per Capita|1936|1065
156|China|GDP per Capita|1937|1034
156|China|GDP per Capita|1938|1003
156|China|GDP per Capita|1939|
156|China|GDP per Capita|1940|
156|China|GDP per Capita|1941|
156|China|GDP per Capita|1942|
156|China|GDP per Capita|1943|
156|China|GDP per Capita|1944|
156|China|GDP per Capita|1945|
156|China|GDP per Capita|1946|
156|China|GDP per Capita|1947|
156|China|GDP per Capita|1948|
156|China|GDP per Capita|1949|
156|China|GDP per Capita|1950|799
156|China|GDP per Capita|1951|950
156|China|GDP per Capita|1952|1047
156|China|GDP per Capita|1953|1157
156|China|GDP per Capita|1954|1049
156|China|GDP per Capita|1955|1119
156|China|GDP per Capita|1956|1189
156|China|GDP per Capita|1957|1195
156|China|GDP per Capita|1958|1173
156|China|GDP per Capita|1959|1117
156|China|GDP per Capita|1960|1057
156|China|GDP per Capita|1961|874
156|China|GDP per Capita|1962|926
156|China|GDP per Capita|1963|1034
156|China|GDP per Capita|1964|1152
156|China|GDP per Capita|1965|1253
156|China|GDP per Capita|1966|1261
156|China|GDP per Capita|1967|1237
156|China|GDP per Capita|1968|1178
156|China|GDP per Capita|1969|1264
156|China|GDP per Capita|1970|1398
156|China|GDP per Capita|1971|1446
156|China|GDP per Capita|1972|1431
156|China|GDP per Capita|1973|1513
156|China|GDP per Capita|1974|1519
156|China|GDP per Capita|1975|1594
156|China|GDP per Capita|1976|1519
156|China|GDP per Capita|1977|1583
156|China|GDP per Capita|1978|1744
156|China|GDP per Capita|1979|1859
156|China|GDP per Capita|1980|1930
156|China|GDP per Capita|1981|1962
156|China|GDP per Capita|1982|2128
156|China|GDP per Capita|1983|2227
156|China|GDP per Capita|1984|2444
156|China|GDP per Capita|1985|2619
156|China|GDP per Capita|1986|2748
156|China|GDP per Capita|1987|2931
156|China|GDP per Capita|1988|3045
156|China|GDP per Capita|1989|3022
156|China|GDP per Capita|1990|2982
156|China|GDP per Capita|1991|3051.31512515357
156|China|GDP per Capita|1992|3227.74414154146
156|China|GDP per Capita|1993|3506.48009477448
156|China|GDP per Capita|1994|3730.16409441644
156|China|GDP per Capita|1995|3999.72918099
156|China|GDP per Capita|1996|4219.64417241615
156|China|GDP per Capita|1997|4310.82819841617
156|China|GDP per Capita|1998|4309.84717556826
156|China|GDP per Capita|1999|4466.73625021457
156|China|GDP per Capita|2000|4730.3543512023
156|China|GDP per Capita|2001|4995.1447248206
156|China|GDP per Capita|2002|5343.11225782478
156|China|GDP per Capita|2003|5649.46323912719
156|China|GDP per Capita|2004|6067.59116137029
156|China|GDP per Capita|2005|6626.59182113053
156|China|GDP per Capita|2006|7271.03565197081
156|China|GDP per Capita|2007|7895.71289269742
156|China|GDP per Capita|2008|8190.11209450594
156|China|GDP per Capita|2009|8734.04062380443
156|China|GDP per Capita|2010|9658.41859928433
156|China|GDP per Capita|2011|10221
156|China|GDP per Capita|2012|10680
156|China|GDP per Capita|2013|11328
156|China|GDP per Capita|2014|11944
156|China|GDP per Capita|2015|12244
156|China|GDP per Capita|2016|12569
