polity_id,year_from,year_to,crop_failure_events
CnQingE,1644,1644,34
CnQingE,1645,1645,41
CnQingE,1646,1646,69
CnQingE,1647,1647,117
CnQingE,1648,1648,80
CnQingE,1649,1649,58
CnQingE,1650,1650,61
CnQingE,1651,1651,72
CnQingE,1652,1652,89
CnQingE,1653,1653,65
CnQingE,1654,1654,72
CnQingE,1655,1655,64
CnQingE,1656,1656,44
CnQingE,1657,1657,33
CnQingE,1658,1658,60
CnQingE,1659,1659,71
CnQingE,1660,1660,33
CnQingE,1661,1661,60
CnQingE,1662,1662,75
CnQingE,1663,1663,46
CnQingE,1664,1664,88
CnQingE,1665,1665,77
CnQingE,1666,1666,25
CnQingE,1667,1667,57
CnQingE,1668,1668,87
CnQingE,1669,1669,41
CnQingE,1670,1670,78
CnQingE,1671,1671,116
CnQingE,1672,1672,112
CnQingE,1673,1673,48
CnQingE,1674,1674,51
CnQingE,1675,1675,37
CnQingE,1676,1676,34
CnQingE,1677,1677,37
CnQingE,1678,1678,68
CnQingE,1679,1679,114
CnQingE,1680,1680,71
CnQingE,1681,1681,52
CnQingE,1682,1682,65
CnQingE,1683,1683,98
CnQingE,1684,1684,61
CnQingE,1685,1685,51
CnQingE,1686,1686,36
CnQingE,1687,1687,34
CnQingE,1688,1688,44
CnQingE,1689,1689,63
CnQingE,1690,1690,97
CnQingE,1691,1691,91
CnQingE,1692,1692,53
CnQingE,1693,1693,60
CnQingE,1694,1694,33
CnQingE,1695,1695,56
CnQingE,1696,1696,65
CnQingE,1697,1697,42
CnQingE,1698,1698,15
CnQingE,1699,1699,25
CnQingE,1700,1700,26
CnQingE,1701,1701,26
CnQingE,1702,1702,39
CnQingE,1703,1703,82
CnQingE,1704,1704,46
CnQingE,1705,1705,33
CnQingE,1706,1706,25
CnQingE,1707,1707,41
CnQingE,1708,1708,62
CnQingE,1709,1709,75
CnQingE,1710,1710,24
CnQingE,1711,1711,20
CnQingE,1712,1712,42
CnQingE,1713,1713,39
CnQingE,1714,1714,45
CnQingE,1715,1715,46
CnQingE,1716,1716,37
CnQingE,1717,1717,12
CnQingE,1718,1718,38
CnQingE,1719,1719,41
CnQingE,1720,1720,62
CnQingE,1721,1721,104
CnQingE,1722,1722,70
CnQingE,1723,1723,57
CnQingE,1724,1724,50
CnQingE,1725,1725,54
CnQingE,1726,1726,75
CnQingE,1727,1727,57
CnQingE,1728,1728,24
CnQingE,1729,1729,40
CnQingE,1730,1730,77
CnQingE,1731,1731,40
CnQingE,1732,1732,57
CnQingE,1733,1733,44
CnQingE,1734,1734,25
CnQingE,1735,1735,25
CnQingE,1736,1736,36
CnQingE,1737,1737,55
CnQingE,1738,1738,53
CnQingE,1739,1739,69
CnQingE,1740,1740,45
CnQingE,1741,1741,34
CnQingE,1742,1742,74
CnQingE,1743,1743,57
CnQingE,1744,1744,41
CnQingE,1745,1745,47
CnQingE,1746,1746,46
CnQingE,1747,1747,69
CnQingE,1748,1748,67
CnQingE,1749,1749,35
CnQingE,1750,1750,51
CnQingE,1751,1751,70
CnQingE,1752,1752,50
CnQingE,1753,1753,31
CnQingE,1754,1754,36
CnQingE,1755,1755,73
CnQingE,1756,1756,36
CnQingE,1757,1757,58
CnQingE,1758,1758,28
CnQingE,1759,1759,65
CnQingE,1760,1760,18
CnQingE,1761,1761,39
CnQingE,1762,1762,35
CnQingE,1763,1763,18
CnQingE,1764,1764,37
CnQingE,1765,1765,43
CnQingE,1766,1766,15
CnQingE,1767,1767,20
CnQingE,1768,1768,40
CnQingE,1769,1769,33
CnQingE,1770,1770,27
CnQingE,1771,1771,39
CnQingE,1772,1772,15
CnQingE,1773,1773,33
CnQingE,1774,1774,22
CnQingE,1775,1775,28
CnQingE,1776,1776,29
CnQingE,1777,1777,24
CnQingE,1778,1778,84
CnQingE,1779,1779,42
CnQingE,1780,1780,22
CnQingE,1781,1781,46
CnQingE,1782,1782,32
CnQingE,1783,1783,24
CnQingE,1784,1784,44
CnQingE,1785,1785,100
CnQingE,1786,1786,82
CnQingE,1787,1787,24
CnQingE,1788,1788,42
CnQingE,1789,1789,31
CnQingE,1790,1790,36
CnQingE,1791,1791,36
CnQingE,1792,1792,45
CnQingE,1793,1793,37
CnQingE,1794,1794,84
CnQingE,1795,1795,37
CnQingL,1796,1796,41
CnQingL,1797,1797,21
CnQingL,1798,1798,15
CnQingL,1799,1799,25
CnQingL,1800,1800,44
CnQingL,1801,1801,56
CnQingL,1802,1802,68
CnQingL,1803,1803,31
CnQingL,1804,1804,63
CnQingL,1805,1805,66
CnQingL,1806,1806,35
CnQingL,1807,1807,46
CnQingL,1808,1808,41
CnQingL,1809,1809,23
CnQingL,1810,1810,29
CnQingL,1811,1811,66
CnQingL,1812,1812,69
CnQingL,1813,1813,98
CnQingL,1814,1814,82
CnQingL,1815,1815,39
CnQingL,1816,1816,34
CnQingL,1817,1817,43
CnQingL,1818,1818,38
CnQingL,1819,1819,47
CnQingL,1820,1820,67
CnQingL,1821,1821,47
CnQingL,1822,1822,54
CnQingL,1823,1823,96
CnQingL,1824,1824,35
CnQingL,1825,1825,55
CnQingL,1826,1826,78
CnQingL,1827,1827,35
CnQingL,1828,1828,39
CnQingL,1829,1829,34
CnQingL,1830,1830,50
CnQingL,1831,1831,70
CnQingL,1832,1832,109
CnQingL,1833,1833,119
CnQingL,1834,1834,84
CnQingL,1835,1835,141
CnQingL,1836,1836,64
CnQingL,1837,1837,54
CnQingL,1838,1838,46
CnQingL,1839,1839,76
CnQingL,1840,1840,39
CnQingL,1841,1841,65
CnQingL,1842,1842,53
CnQingL,1843,1843,47
CnQingL,1844,1844,50
CnQingL,1845,1845,39
CnQingL,1846,1846,79
CnQingL,1847,1847,67
CnQingL,1848,1848,102
CnQingL,1849,1849,96
CnQingL,1850,1850,45
CnQingL,1851,1851,51
CnQingL,1852,1852,60
CnQingL,1853,1853,120
CnQingL,1854,1854,45
CnQingL,1855,1855,66
CnQingL,1856,1856,159
CnQingL,1857,1857,151
CnQingL,1858,1858,63
CnQingL,1859,1859,60
CnQingL,1860,1860,42
CnQingL,1861,1861,41
CnQingL,1862,1862,87
CnQingL,1863,1863,71
CnQingL,1864,1864,75
CnQingL,1865,1865,61
CnQingL,1866,1866,60
CnQingL,1867,1867,80
CnQingL,1868,1868,86
CnQingL,1869,1869,107
CnQingL,1870,1870,97
CnQingL,1871,1871,113
CnQingL,1872,1872,68
CnQingL,1873,1873,67
CnQingL,1874,1874,37
CnQingL,1875,1875,81
CnQingL,1876,1876,122
CnQingL,1877,1877,226
CnQingL,1878,1878,113
CnQingL,1879,1879,65
CnQingL,1880,1880,40
CnQingL,1881,1881,50
CnQingL,1882,1882,51
CnQingL,1883,1883,66
CnQingL,1884,1884,43
CnQingL,1885,1885,48
CnQingL,1886,1886,51
CnQingL,1887,1887,47
CnQingL,1888,1888,64
CnQingL,1889,1889,92
CnQingL,1890,1890,69
CnQingL,1891,1891,76
CnQingL,1892,1892,81
CnQingL,1893,1893,66
CnQingL,1894,1894,58
CnQingL,1895,1895,74
CnQingL,1896,1896,61
CnQingL,1897,1897,56
CnQingL,1898,1898,70
CnQingL,1899,1899,81
CnQingL,1900,1900,95
CnQingL,1901,1901,80
CnQingL,1902,1902,75
CnQingL,1903,1903,40
CnQingL,1904,1904,43
CnQingL,1905,1905,28
CnQingL,1906,1906,66
CnQingL,1907,1907,51
CnQingL,1908,1908,53
CnQingL,1909,1909,65
CnQingL,1910,1910,64
CnQingL,1911,1911,62
