polity_id,year_from,year_to,gdp_per_capita
CnQingE,1500,1500,1207.278
CnQingE,1510,1510,1274.0
CnQingE,1520,1520,1166.0
CnQingE,1530,1530,1187.0
CnQingE,1540,1540,1193.0
CnQingE,1550,1550,1195.0
CnQingE,1560,1560,1200.0
CnQingE,1570,1570,1237.8419999999999
CnQingE,1580,1580,1217.0
CnQingE,1590,1590,1217.0
CnQingE,1600,1600,1217.4660000000001
CnQingE,1610,1610,1282.0
CnQingE,1620,1620,1262.0
CnQingE,1661,1661,1330.0
CnQingE,1685,1685,1280.0
CnQingE,1690,1690,1413.0
CnQingE,1700,1700,1542.6329999999998
CnQingE,1710,1710,1406.0
CnQingE,1720,1720,1312.0
CnQingE,1724,1724,1170.0
CnQingE,1730,1730,1234.0
CnQingE,1740,1740,1158.0
CnQingE,1750,1750,1061.25
CnQingE,1760,1760,1022.0
CnQingE,1766,1766,991.0
CnQingE,1770,1770,998.0
CnQingE,1780,1780,981.0
CnQingE,1790,1790,955.0
CnQingL,1800,1800,926.2589999999999
CnQingL,1810,1810,901.0
CnQingL,1820,1820,882.0
CnQingL,1830,1830,846.0
CnQingL,1840,1840,849.0
CnQingL,1850,1850,858.0
CnQingL,1870,1870,945.0
CnQingL,1887,1887,912.0
CnQingL,1890,1890,964.0
CnQingL,1900,1900,972.0
CnQingL,1911,1911,905.0
CnQingL,1913,1913,985.0
CnQingL,1929,1929,1003.0
CnQingL,1930,1930,1012.0
CnQingL,1931,1931,1015.0
CnQingL,1932,1932,1039.0
CnQingL,1933,1933,923.0
CnQingL,1934,1934,937.0
CnQingL,1935,1935,1007.0
CnQingL,1936,1936,1065.0
CnQingL,1937,1937,1034.0
CnQingL,1938,1938,1003.0
CnQingL,1950,1950,799.0
CnQingL,1951,1951,950.0
CnQingL,1952,1952,1047.0
CnQingL,1953,1953,1157.0
CnQingL,1954,1954,1049.0
CnQingL,1955,1955,1119.0
CnQingL,1956,1956,1189.0
CnQingL,1957,1957,1195.0
CnQingL,1958,1958,1173.0
CnQingL,1959,1959,1117.0
CnQingL,1960,1960,1057.0
CnQingL,1961,1961,874.0
CnQingL,1962,1962,926.0
CnQingL,1963,1963,1034.0
CnQingL,1964,1964,1152.0
CnQingL,1965,1965,1253.0
CnQingL,1966,1966,1261.0
CnQingL,1967,1967,1237.0
CnQingL,1968,1968,1178.0
CnQingL,1969,1969,1264.0
CnQingL,1970,1970,1398.0
CnQingL,1971,1971,1446.0
CnQingL,1972,1972,1431.0
CnQingL,1973,1973,1513.0
CnQingL,1974,1974,1519.0
CnQingL,1975,1975,1594.0
CnQingL,1976,1976,1519.0
CnQingL,1977,1977,1583.0
CnQingL,1978,1978,1744.0
CnQingL,1979,1979,1859.0
CnQingL,1980,1980,1930.0
CnQingL,1981,1981,1962.0
CnQingL,1982,1982,2128.0
CnQingL,1983,1983,2227.0
CnQingL,1984,1984,2444.0
CnQingL,1985,1985,2619.0
CnQingL,1986,1986,2748.0
CnQingL,1987,1987,2931.0
CnQingL,1988,1988,3045.0
CnQingL,1989,1989,3022.0
CnQingL,1990,1990,2982.0
CnQingL,1991,1991,3051.31512515357
CnQingL,1992,1992,3227.74414154146
CnQingL,1993,1993,3506.4800947744798
CnQingL,1994,1994,3730.1640944164396
CnQingL,1995,1995,3999.72918099
CnQingL,1996,1996,4219.64417241615
CnQingL,1997,1997,4310.82819841617
CnQingL,1998,1998,4309.847175568259
CnQingL,1999,1999,4466.736250214571
CnQingL,2000,2000,4730.3543512023
CnQingL,2001,2001,4995.1447248206
CnQingL,2002,2002,5343.11225782478
CnQingL,2003,2003,5649.46323912719
CnQingL,2004,2004,6067.591161370289
CnQingL,2005,2005,6626.59182113053
CnQingL,2006,2006,7271.035651970809
CnQingL,2007,2007,7895.712892697421
CnQingL,2008,2008,8190.112094505941
CnQingL,2009,2009,8734.04062380443
CnQingL,2010,2010,9658.41859928433
CnQingL,2011,2011,10221.0
CnQingL,2012,2012,10680.0
CnQingL,2013,2013,11328.0
CnQingL,2014,2014,11944.0
CnQingL,2015,2015,12244.0
CnQingL,2016,2016,12569.0
